station_id,station_name,latitude,longitude,data_start,data_end,country_id
27675,Poretskoye / Poretskoe,55.1833,46.3333,1891-10-01,2024-04-20,119
72591,Red Bluff Municipal Airport,40.15,-122.25,1892-01-01,2024-12-30,149
23405,Ust'- Cil'Ma,65.4333,52.2667,1892-01-01,2024-04-20,119
35416,Uil,49.0667,54.6833,1892-01-01,2024-04-21,71
60590,El Golea,30.5667,2.8667000000000002,1892-01-01,2024-04-17,2
30230,Kirensk,57.7667,108.0667,1892-01-01,2024-04-20,119
23933,Hanty-Mansijsk,61.0167,69.0333,1892-10-01,2024-04-20,119
72694,Salem McNary Field,44.9,-123.0,1892-12-01,2024-12-30,149
10379,Potsdam,52.3833,13.0667,1893-01-01,2024-04-21,53
72656,"Winner, Bob Wiley Field Airport",43.3833,-99.8333,1893-01-01,2024-12-30,149
72566,Scottsbluff Heilig Field,41.8667,-103.6,1893-01-01,2024-12-30,149
72502,Newark Airport,40.6833,-74.0,1893-01-01,2024-12-30,149
26393,Vysnij Volocek,57.55,34.5667,1893-01-01,2024-04-08,119
U9ANI,Julian CDF,33.0833,-116.63,1893-01-01,2024-03-24,149
72659,Aberdeen Regional Airport,45.45,-98.4167,1893-01-01,2024-12-30,149
72644,Rochester International Airport,43.9,-92.5,1893-01-18,2024-12-30,149
22028,Teriberka,69.2,35.1167,1893-06-01,2024-04-20,119
28661,Kurgan,55.4667,65.4,1893-11-01,2024-04-20,119
72535,South Bend Regional Airport,41.7,-86.3167,1893-12-01,2024-12-29,149
32583,Petropavlovsk-Kamchatskij,52.9833,158.65,1894-01-01,2024-04-09,119
11240,Graz Airport,47.0,15.433300000000001,1894-01-01,2024-04-01,7
33837,Odesa,46.4333,30.7667,1894-01-01,2024-04-20,146
72614,St Johnsbury Fairbanks,44.4167,-72.0167,1894-03-01,2024-04-18,149
72774,Butte / Valley Vista Mobile Home Community,45.9548,-112.4975,1894-04-02,2024-12-28,149
38687,Chardzhev,39.0833,63.6,1894-05-01,2024-04-21,144
25551,Markovo,64.6833,170.4167,1894-11-01,2024-04-20,119
26855,Mar'Ina Gorka,55.45,28.1333,1894-12-01,2024-04-19,12
30925,Kjahta,50.3667,106.45,1895-01-01,2024-04-20,119
38878,Murgab,38.1667,73.9833,1895-01-01,2024-02-18,119
72480,Bishop Airport,37.3667,-118.3667,1895-01-04,2024-12-30,149
72650,Spencer / Birchwood Estates,43.1667,-95.15,1895-02-01,2024-04-18,149
10946,Kempten,47.7167,10.3333,1895-05-01,2024-04-21,53
