country_id,indicator_id,value,log_id
61,9,87.6,325
61,10,14.0,326
62,1,64.8,327
62,2,125.4,328
62,3,72.8,329
62,4,69.0,330
62,5,57.6,331
62,6,157.6,332
62,7,22.3,333
62,8,25.5,334
62,9,16.2,335
62,10,402.5,336
63,1,56.9,337
63,2,179.0,338
63,3,76.3,339
63,4,53.5,340
63,5,47.3,341
63,6,234.0,342
63,7,30.1,343
63,8,36.6,344
63,9,15.9,345
63,10,360.0,346
64,1,53.2,347
64,2,198.0,348
64,3,80.4,349
64,4,39.0,350
64,5,43.3,351
64,6,267.0,352
64,7,26.2,353
64,8,21.6,354
64,9,15.9,355
64,10,384.0,356
65,5,43.3,357
65,6,268.0,358
65,7,31.9,359
65,8,29.1,360
65,9,26.5,361
65,10,340.0,362
66,1,54.0,363
66,2,192.0,364
66,3,40.8,365
66,4,177.0,366
66,5,58.0,367
66,6,154.4,368
66,7,65.7,369
66,8,61.5,370
66,9,66.6,371
66,10,96.7,372
67,1,73.8,373
67,2,40.0,374
67,3,45.9,375
67,4,165.0,376
67,5,68.4,377
67,6,78.0,378
67,7,64.3,379
67,8,61.2,380
67,9,71.2,381
67,10,111.3,382
68,1,67.2,383
68,2,103.3,384
68,3,68.1,385
68,4,83.0,386
68,5,52.9,387
68,6,190.7,388
68,7,57.3,389
68,8,57.4,390
68,9,54.8,391
68,10,167.9,392
69,5,30.0,393
69,6,321.0,394
69,7,56.3,395
69,8,65.7,396
69,9,38.4,397
69,10,183.0,398
70,1,79.6,399
70,2,11.0,400
70,3,41.9,401
70,4,175.0,402
70,5,71.8,403
70,6,56.0,404
70,7,48.7,405
70,8,58.4,406
70,9,29.9,407
70,10,217.0,408
71,1,65.1,409
71,2,127.0,410
71,3,77.2,411
71,4,53.0,412
71,5,61.5,413
71,6,126.0,414
71,7,42.7,415
71,8,38.1,416
71,9,35.9,417
71,10,257.0,418
72,1,57.8,419
72,2,157.0,420
72,3,66.6,421
72,4,93.0,422
72,5,56.6,423
72,6,166.5,424
72,7,34.2,425
72,8,34.4,426
72,9,32.0,427
72,10,319.5,428
73,1,62.1,429
73,2,153.0,430
73,3,79.8,431
73,4,41.0,432
73,5,40.7,433
73,6,276.0,434
73,7,29.7,435
73,8,30.9,436
73,9,21.4,437
73,10,363.0,438
75,1,57.8,439
75,2,174.0,440
75,5,70.2,441
75,6,67.0,442
75,7,43.7,443
75,8,34.9,444
75,9,41.9,445
75,10,249.0,446
76,7,27.9,447
76,8,27.7,448
76,9,20.8,449
76,10,375.0,450
78,1,60.5,451
78,2,164.0,452
78,3,37.8,453
78,4,184.0,454
78,5,61.2,455
78,6,130.0,456
78,7,50.0,457
78,8,43.5,458
78,9,45.7,459
78,10,209.0,460
79,1,64.6,461
79,2,132.0,462
79,3,93.9,463
79,4,4.0,464
79,5,53.5,465
79,6,188.0,466
79,7,44.8,467
79,8,33.5,468
79,9,35.4,469
79,10,239.0,470
82,1,75.7,471
82,2,31.0,472
82,3,24.6,473
82,4,234.0,474
82,5,67.6,475
82,6,85.5,476
82,7,46.2,477
82,8,44.3,478
82,9,43.6,479
82,10,227.5,480
83,1,78.2,481
83,2,17.0,482
83,3,19.6,483
83,4,245.0,484
83,5,70.9,485
83,6,63.0,486
83,7,61.0,487
83,8,62.3,488
83,9,71.7,489
83,10,153.0,490
84,1,54.6,491
84,2,191.0,492
84,3,83.2,493
84,4,32.0,494
84,5,53.2,495
84,6,190.0,496
84,7,34.1,497
84,8,33.2,498
84,9,23.7,499
84,10,318.0,500
87,1,68.0,501
87,2,91.0,502
87,3,65.3,503
87,4,90.0,504
87,5,44.0,505
87,6,251.5,506
87,7,33.3,507
87,8,39.9,508
87,9,23.6,509
87,10,329.0,510
89,7,56.4,511
89,8,54.6,512
89,9,59.9,513
89,10,182.0,514
93,1,71.6,515
93,2,69.7,516
93,3,67.3,517
93,4,87.5,518
93,5,43.8,519
93,6,248.2,520
93,7,46.7,521
93,8,49.1,522
93,9,43.9,523
93,10,227.0,524
95,5,57.5,525
95,6,158.0,526
95,7,35.5,527
95,8,32.6,528
95,9,27.6,529
95,10,306.0,530
97,1,45.0,531
97,2,216.0,532
97,3,82.7,533
97,4,33.5,534
97,5,45.8,535
97,6,246.0,536
97,7,30.6,537
97,8,30.6,538
97,9,23.7,539
97,10,353.0,540
99,3,90.9,541
99,4,10.0,542
100,5,32.6,543
100,6,310.0,544
101,1,55.3,545
101,2,188.0,546
101,3,95.7,547
101,4,1.0,548
101,5,63.2,549
101,6,115.0,550
101,7,26.0,551
101,8,25.9,552
101,9,17.2,553
101,10,391.0,554
102,1,79.5,555
102,2,10.0,556
102,3,23.0,557
102,4,236.2,558
102,5,75.8,559
102,6,32.2,560
102,7,62.4,561
102,8,58.0,562
102,9,63.1,563
102,10,133.1,564
103,1,65.6,565
103,2,117.0,566
103,3,29.4,567
103,4,215.7,568
